alias,generic_name,type
BELLIS PERENNIS,"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",substance
HYPERICUM PERFORATUM,"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",substance
RUTA GRAVEOLENS FLOWERING TOP,"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",substance
TOXICODENDRON PUBESCENS LEAF,"BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP",substance
Phenazopyridine Hydrochloride,PHENAZOPYRIDINE,brand_name
PHENAZOPYRIDINE HYDROCHLORIDE,PHENAZOPYRIDINE,substance
Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",brand_name
AVOBENZONE,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",substance
HOMOSALATE,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",substance
OCTISALATE,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",substance
OCTOCRYLENE,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",substance
Roll On Anti-Perspirant (Alcohol Free),ALUMINUM CHLOROHYDRATE,brand_name
ALUMINUM CHLOROHYDRATE,ALUMINUM CHLOROHYDRATE,substance
Attitude Diaper Cream Zinc Unscented,ZINC OXIDE,brand_name
ZINC OXIDE,ZINC OXIDE,substance
Famotidine,FAMOTIDINE,brand_name
FAMOTIDINE,FAMOTIDINE,substance
Equate Honey Lemon Cough Drops,MENTHOL,brand_name
MENTHOL,MENTHOL,substance
Prime Tooth Care Hami Melon,SODIUM FLUORIDE,brand_name
SODIUM FLUORIDE,SODIUM FLUORIDE,substance
Dragon Pain Relieving Balm,"CAMPHOR, MENTHOL",brand_name
CAMPHOR (SYNTHETIC),"CAMPHOR, MENTHOL",substance
MENTHOL,"CAMPHOR, MENTHOL",substance
Eminence Radiant Protection SPF Fluid,ZINC OXIDE,brand_name
ZINC OXIDE,ZINC OXIDE,substance
Aluminium Fluoratum,ALUMINIUM FLUORATUM,brand_name
ALUMINUM FLUORIDE,ALUMINIUM FLUORATUM,substance
Foster and Thrive Original Formula Eye Drops,TETRAHYDROZOLINE HCL,brand_name
TETRAHYDROZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE HCL,substance
Dragon Pain Relieving Balm,"CAMPHOR, MENTHOL",brand_name
CAMPHOR (SYNTHETIC),"CAMPHOR, MENTHOL",substance
MENTHOL,"CAMPHOR, MENTHOL",substance
Olanzapine,OLANZAPINE,brand_name
OLANZAPINE,OLANZAPINE,substance
BKEMV,ECULIZUMAB-AEEB,brand_name
ECULIZUMAB,ECULIZUMAB-AEEB,substance
PETITCOCHON TONE UP BODY SUN,"ADENOSINE, NIACINAMIDE",brand_name
ADENOSINE,"ADENOSINE, NIACINAMIDE",substance
NIACINAMIDE,"ADENOSINE, NIACINAMIDE",substance
Aluminium Nitricum,ALUMINIUM NITRICUM,brand_name
ALUMINUM NITRATE,ALUMINIUM NITRICUM,substance
ORFADIN,NITISINONE,brand_name
NITISINONE,NITISINONE,substance
Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30,"TITANIUM DIOXIDE, ZINC OXIDE",brand_name
TITANIUM DIOXIDE,"TITANIUM DIOXIDE, ZINC OXIDE",substance
ZINC OXIDE,"TITANIUM DIOXIDE, ZINC OXIDE",substance
Tri-Vite Drops with Fluoride,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",brand_name
ASCORBIC ACID,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",substance
SODIUM FLUORIDE,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",substance
VITAMIN A,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",substance
VITAMIN D,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D",substance
ondansetron hydrochloride,ONDANSETRON HYDROCHLORIDE,brand_name
ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,substance
MediChoice Moisturizing Lip Balm SPF15,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",brand_name
AVOBENZONE,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",substance
OCTINOXATE,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",substance
OCTISALATE,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",substance
OCTOCRYLENE,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE",substance
Azithromycin,AZITHROMYCIN,brand_name
AZITHROMYCIN DIHYDRATE,AZITHROMYCIN,substance
Divalproex Sodium,DIVALPROEX SODIUM,brand_name
DIVALPROEX SODIUM,DIVALPROEX SODIUM,substance
Metoclopramide,METOCLOPRAMIDE,brand_name
METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE,substance
Dove,EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT,brand_name
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT,substance
Dove,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT,brand_name
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT,substance
Dove,EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT,brand_name
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT,substance
Acetaminophen,ACETAMINOPHEN,brand_name
ACETAMINOPHEN,ACETAMINOPHEN,substance
Dove,EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT,brand_name
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT,substance
Childrens Allergy Relief,DIPHENHYDRAMINE HCL,brand_name
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,substance
Lamotrigine,LAMOTRIGINE,brand_name
LAMOTRIGINE,LAMOTRIGINE,substance
First Aid Burn Cream,FIRST AID BURN CREAM,brand_name
BENZALKONIUM CHLORIDE,FIRST AID BURN CREAM,substance
LIDOCAINE HYDROCHLORIDE,FIRST AID BURN CREAM,substance
allergy relief,LORATADINE,brand_name
LORATADINE,LORATADINE,substance
Cisplatin,CISPLATIN,brand_name
CISPLATIN,CISPLATIN,substance
Artistry Youth Xtend Lifting Smoothing Foundation Shade Chiffon L2C1,"OCTINOXATE, OXYBENZONE",brand_name
OCTINOXATE,"OCTINOXATE, OXYBENZONE",substance
OXYBENZONE,"OCTINOXATE, OXYBENZONE",substance
Equate SF Menthol Cough Drops,MENTHOL,brand_name
MENTHOL,MENTHOL,substance
MILK OF MAGNESIA,MAGNESIUM HYDROXIDE,brand_name
MAGNESIUM HYDROXIDE,MAGNESIUM HYDROXIDE,substance
Nicotine Polacrilex,NICOTINE POLACRILEX,brand_name
NICOTINE,NICOTINE POLACRILEX,substance
Head and Shoulders Bare Minimal Ingredients,PYRITHIONE ZINC,brand_name
PYRITHIONE ZINC,PYRITHIONE ZINC,substance
Head and Shoulders Bare Minimal Ingredients Soothing Hydration,PYRITHIONE ZINC,brand_name
PYRITHIONE ZINC,PYRITHIONE ZINC,substance
Amlodipine Besylate,AMLODIPINE BESYLATE,brand_name
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,substance
Private Label Moisturizing Oil Free Paraben Free SPF43,SUNSCREEN,brand_name
OCTINOXATE,SUNSCREEN,substance
OCTISALATE,SUNSCREEN,substance
ZINC OXIDE,SUNSCREEN,substance
Aluminium Phosphoricum,ALUMINIUM PHOSPHORICUM,brand_name
ALUMINUM PHOSPHATE,ALUMINIUM PHOSPHORICUM,substance
perphenazine,PERPHENAZINE,brand_name
PERPHENAZINE,PERPHENAZINE,substance
Power Stick For Her Roll- On Antiperspirant Deodorant Powder Fresh,ALUMINUM SESQUICHLOROHYDRATE,brand_name
ALUMINUM SESQUICHLOROHYDRATE,ALUMINUM SESQUICHLOROHYDRATE,substance
Naproxen,NAPROXEN,brand_name
NAPROXEN,NAPROXEN,substance
Foster and Thrive Lubricating Tears Lubricant Eye Drops,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",brand_name
POLYETHYLENE GLYCOL 400,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",substance
PROPYLENE GLYCOL,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",substance
Foster and Thrive Redness Relief Eye Drops,"GLYCERIN, NAPHAZOLINE HCL",brand_name
GLYCERIN,"GLYCERIN, NAPHAZOLINE HCL",substance
NAPHAZOLINE HYDROCHLORIDE,"GLYCERIN, NAPHAZOLINE HCL",substance
Daytime Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",brand_name
ACETAMINOPHEN,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",substance
