alias,generic_name,type
ARRHENATHERUM ELATIUS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ARTEMISIA ANNUA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ARTEMISIA FRIGIDA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ARTEMISIA TRIDENTATA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ARTEMISIA VULGARIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ATRIPLEX CANESCENS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
AVENA SATIVA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BACCHARIS HALIMIFOLIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BAPTISIA TINCTORIA ROOT,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BASSIA SCOPARIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BETULA LENTA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BETULA NIGRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BETULA PAPYRIFERA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BROMUS INERMIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
BROUSSONETIA PAPYRIFERA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CARYA ALBA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CARYA CORDIFORMIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CARYA GLABRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CARYA ILLINOINENSIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CARYA OVATA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CELTIS OCCIDENTALIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CHENOPODIUM ALBUM POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CHENOPODIUM AMBROSIOIDES POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CUPRESSUS ARIZONICA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CYCLACHAENA XANTHIFOLIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
CYNODON DACTYLON POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
DACTYLIS GLOMERATA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
"ECHINACEA, UNSPECIFIED","ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ELYMUS REPENS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FAGUS GRANDIFOLIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FENUGREEK LEAF,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FESTUCA PRATENSIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FRAXINUS AMERICANA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FRAXINUS PENNSYLVANICA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
FRAXINUS VELUTINA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
GOLDENSEAL,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
IVA ANGUSTIFOLIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
IVA ANNUA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
JUGLANS NIGRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
JUNIPERUS ASHEI POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
JUNIPERUS VIRGINIANA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
KOELERIA MACRANTHA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
LIGUSTRUM VULGARE POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
LIQUIDAMBAR STYRACIFLUA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
LOLIUM MULTIFLORUM POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
LOLIUM PERENNE POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
MORUS ALBA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
MORUS RUBRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
MYRRH,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PASCOPYRUM SMITHII POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PHALARIS ARUNDINACEA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PHLEUM PRATENSE POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PHYTOLACCA AMERICANA ROOT,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PICEA PUNGENS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PINUS NIGRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PINUS SYLVESTRIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PINUS TAEDA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PLANTAGO LANCEOLATA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PLATANUS OCCIDENTALIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
POA ANNUA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
POPULUS ALBA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
POPULUS DELTOIDES POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
POPULUS NIGRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
PROSOPIS JULIFLORA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
QUERCUS ALBA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
QUERCUS MACROCARPA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
QUERCUS RUBRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
QUERCUS STELLATA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
QUERCUS VELUTINA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
RUMEX CRISPUS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
RUMEX OBTUSIFOLIUS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SALIX NIGRA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SALSOLA TRAGUS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SOLIDAGO CANADENSIS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SORGHUM BICOLOR POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SORGHUM HALEPENSE POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
SORGHUM X DRUMMONDII POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
TAXODIUM DISTICHUM POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
TRITICUM AESTIVUM POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ULMUS AMERICANA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ULMUS CRASSIFOLIA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ULMUS PUMILA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
URTICA DIOICA POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
XANTHIUM STRUMARIUM POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
ZEA MAYS POLLEN,"ECHINACEA,BAPTISIA TINCTORIA, HYDRASTIS CANADENSIS, MYRRHA, PHYTOLACCA DECANDRA, TRIGONELLA FOENUM-GRAECUM, TEXAS TREE, TEXAS WEED, TEXAS GRASS",substance
Erythromycin,ERYTHROMYCIN,brand_name
ERYTHROMYCIN,ERYTHROMYCIN,substance
Dexamethasone Sodium Phosphate,DEXAMETHASONE SODIUM PHOSPHATE,brand_name
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,substance
HEB Stomach Relief Cherry,BISMUTH SUBSALICYLATE,brand_name
BISMUTH SUBSALICYLATE,BISMUTH SUBSALICYLATE,substance
Tranexamic Acid,TRANEXAMIC ACID,brand_name
TRANEXAMIC ACID,TRANEXAMIC ACID,substance
ARTHRITIS PAIN RELIEVER,DICLOFENAC SODIUM,brand_name
DICLOFENAC SODIUM,DICLOFENAC SODIUM,substance
Josie Maran Argan Daily Moisturizer SPF47,"ZINC OXIDE, TITANIUM DIOXIDE",brand_name
TITANIUM DIOXIDE,"ZINC OXIDE, TITANIUM DIOXIDE",substance
ZINC OXIDE,"ZINC OXIDE, TITANIUM DIOXIDE",substance
VIE NATURELLE ACNE BODY,BENZOYL PEROXIDE,brand_name
BENZOYL PEROXIDE,BENZOYL PEROXIDE,substance
Advanced Eye Relief Dry Eye Rejuvenation,GLYCERIN PROPYLENE GLYCOL,brand_name
GLYCERIN,GLYCERIN PROPYLENE GLYCOL,substance
PROPYLENE GLYCOL,GLYCERIN PROPYLENE GLYCOL,substance
Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,brand_name
ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,substance
Lovastatin,LOVASTATIN,brand_name
LOVASTATIN,LOVASTATIN,substance
VALPROIC ACID,VALPROIC ACID,brand_name
VALPROIC ACID,VALPROIC ACID,substance
Nighttime Sleep Aid,DIPHENHYDRAMINE HCL,brand_name
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HCL,substance
basic care nighttime sleep aid,DIPHENHYDRAMINE HCL,brand_name
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HCL,substance
Ibuprofen,IBUPROFEN,brand_name
IBUPROFEN,IBUPROFEN,substance
Equate Calaspray,"PRAMOXINE HCL 1%, ZINC ACETATE 0.1%",brand_name
PRAMOXINE HYDROCHLORIDE,"PRAMOXINE HCL 1%, ZINC ACETATE 0.1%",substance
ZINC ACETATE,"PRAMOXINE HCL 1%, ZINC ACETATE 0.1%",substance
metyrosine,METYROSINE,brand_name
METYROSINE,METYROSINE,substance
Equate Cortisone,HYDROCORTISONE 1%,brand_name
HYDROCORTISONE,HYDROCORTISONE 1%,substance
Metoprolol Succinate,METOPROLOL SUCCINATE,brand_name
METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,substance
Cyclobenzaprine Hydrochloride,CYCLOBENZAPRINE HYDROCHLORIDE,brand_name
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,substance
Odomzo,SONIDEGIB,brand_name
SONIDEGIB PHOSPHATE,SONIDEGIB,substance
Lopressor,METOPROLOL TARTRATE,brand_name
METOPROLOL TARTRATE,METOPROLOL TARTRATE,substance
Alprazolam,ALPRAZOLAM,brand_name
ALPRAZOLAM,ALPRAZOLAM,substance
Glipizide,GLIPIZIDE,brand_name
GLIPIZIDE,GLIPIZIDE,substance
Simplify Antibacterial Hand Apple Blossom Scent,CHLOROXYLENOL,brand_name
CHLOROXYLENOL,CHLOROXYLENOL,substance
Simplify Antibacterial Hand Wipes,BENZALKONIUM CHLORIDE,brand_name
BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE,substance
CAFIZETAMOL FORTE,"ACETAMINOPHEN, CAFFEINE",brand_name
ACETAMINOPHEN,"ACETAMINOPHEN, CAFFEINE",substance
CAFFEINE,"ACETAMINOPHEN, CAFFEINE",substance
Migrafein FORTE,"ACETAMINOPHEN, CAFFEINE",brand_name
ACETAMINOPHEN,"ACETAMINOPHEN, CAFFEINE",substance
CAFFEINE,"ACETAMINOPHEN, CAFFEINE",substance
ibuprofen,IBUPROFEN,brand_name
IBUPROFEN,IBUPROFEN,substance
Neo-Lubrina Fuerte,"ACETAMINOPHEN, CAFFEINE",brand_name
ACETAMINOPHEN,"ACETAMINOPHEN, CAFFEINE",substance
CAFFEINE,"ACETAMINOPHEN, CAFFEINE",substance
belif The true cream aqua bomb sunscreen Broad Spectrum SPF 50,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",brand_name
AVOBENZONE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",substance
HOMOSALATE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",substance
OCTISALATE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",substance
OCTOCRYLENE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",substance
Bosentan,BOSENTAN,brand_name
BOSENTAN,BOSENTAN,substance
Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,brand_name
